Kabupaten/Kota,[Metode Baru] Indeks Pembangunan Manusia (IPM) Menurut Kabupaten/Kota (UHH Hasil Proyeksi SP2010),,,,,,,,,,[Metode Baru] Indeks Pembangunan Manusia (IPM) Menurut Kabupaten/Kota (UHH Hasil Long Form SP2020),,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2025
Kab. Kepulauan Mentawai,57.41,58.27,59.25,60.28,61.26,61.09,61.35,62.19,63.13,63.99,63.71,63.98,64.83,65.79,66.67,67.62
Kab. Pesisir Selatan,68.07,68.39,68.74,69.4,70.08,69.9,70.03,70.84,71.44,72.02,70.87,71.01,71.72,72.24,72.87,73.72
Kab. Solok,67.12,67.67,67.86,68.6,69.08,69.08,69.24,70.02,70.63,71.02,70.44,70.6,71.39,71.92,72.29,73.26
Kab. Sijunjung,65.3,66.01,66.6,66.97,67.66,67.74,67.86,68.69,69.65,70.23,70.36,70.48,71.32,72.3,72.88,73.73
Kab. Tanah Datar,69.49,70.11,70.37,71.25,72.14,72.33,72.46,73.29,73.98,74.9,74.01,74.14,74.87,75.57,76.49,77.04
Kab. Padang Pariaman,68.04,68.44,68.9,69.71,70.59,70.61,70.76,71.63,72.61,73.1,72.8,72.92,73.67,74.54,74.9,75.71
Kab. Agam,69.84,70.36,71.1,71.7,72.37,72.46,72.57,73.29,73.98,74.66,73.11,73.2,73.84,74.44,75.08,76.04
Kab. Lima Puluh Kota,67.65,68.37,68.69,69.17,69.67,69.47,69.68,70.28,70.7,71.14,70.82,71.03,71.64,72.05,72.51,73.43
Kab. Pasaman,64.01,64.57,64.94,65.6,66.46,66.64,66.77,67.41,68.13,68.89,68.35,68.48,69.12,69.85,70.61,71.57
Kab. Solok Selatan,67.09,67.47,67.81,68.45,68.94,69.04,69.23,69.71,70.58,71.5,70.69,70.88,71.36,72.24,73.17,74.01
Kab. Dharmasraya,69.84,70.25,70.4,70.86,71.52,71.51,71.76,72.3,73.04,74.06,72.3,72.65,73.19,73.87,74.82,75.7
Kab. Pasaman Barat,65.26,66.03,66.83,67.43,68.21,68.49,68.76,69.57,70.19,70.93,70.3,70.57,71.39,72.03,72.78,73.69
Kota Padang,80.36,81.06,81.58,82.25,82.68,82.82,82.9,83.29,83.58,83.99,83.22,83.3,83.69,83.98,84.38,84.93
Kota Solok,76.83,77.07,77.44,77.89,78.38,78.29,78.41,79.23,79.58,80,78.41,78.53,79.35,79.66,80.06,80.9
Kota Sawahlunto,69.87,70.67,71.13,71.72,72.39,72.64,72.88,73.73,74.42,75.13,73.97,74.35,75.21,75.91,76.68,77.05
Kota Padang Panjang,75.98,76.5,77.01,77.3,78,77.93,77.97,78.78,79.26,80.17,78.43,78.52,79.28,79.76,80.6,81.32
Kota Bukittinggi,78.72,79.11,79.8,80.11,80.71,80.58,80.7,81.42,81.78,82.51,80.68,80.79,81.52,81.88,82.61,83.05
Kota Payakumbuh,77.42,77.56,77.91,78.23,78.95,78.9,79.08,79.53,79.97,80.61,79.06,79.24,79.7,80.14,80.76,81.62
Kota Pariaman,74.98,75.44,75.71,76.26,76.7,76.9,77.07,77.65,78.13,78.88,78.55,78.72,79.31,79.76,80.49,81.27
Provinsi Sumatera Barat,69.98,70.73,71.24,71.73,72.39,72.38,72.65,73.26,73.75,74.49,74.29,74.56,75.16,75.64,76.43,77.27
,,,,,,,,,,,,,,,,
Catatan,"Catatan : Umur Harapan Hidup dari hasil Proyeksi SP2010,","Sumber : BPS, Survei Sosial Ekonomi Nasional",,,,,,,,,Catatan : Umur Harapan Hidup saat Lahir (UHH) hasil Long Form SP2020 (LF SP2020),,,,,
